,Número,Distrito,Barrio,Calle,Nº Finca,Número de Plazas,Longitud,Latitud
0,1,01  CENTRO,01-06 SOL,"ALCALA, CALLE, DE",[2 6],60,-3.701998,40.4171107
1,2,01  CENTRO,01-05 UNIVERSIDAD,"MIGUEL MOYA, CALLE, DE",1,24,-3.7056739,40.42058
2,3,07  CHAMBERÍ,07-02 ARAPILES,"CONDE DEL VALLE DE SUCHIL, PLAZA, DEL",2,18,-3.7072122,40.4303224
3,4,01  CENTRO,01-05 UNIVERSIDAD,"MANUELA MALASAÑA, CALLE, DE",3,24,-3.7026739,40.4285905
4,5,01  CENTRO,01-04 JUSTICIA,"FUENCARRAL, CALLE, DE",106,27,-3.7020743,40.428362
5,6,01  CENTRO,01-04 JUSTICIA,"HORTALEZA, CALLE, DE",63,24,-3.6984093,40.4241633
6,7,01  CENTRO,01-04 JUSTICIA,"HORTALEZA, CALLE, DE",75,21,-3.6977399,40.4252161
7,8,07  CHAMBERÍ,07-04 ALMAGRO,"ALONSO MARTINEZ, PLAZA, DE",6,24,-3.6953067,40.4277143
8,9,01  CENTRO,01-01 PALACIO,"SAN MIGUEL, PLAZA, DE",9,24,-3.7094093,40.4156134
9,10,01  CENTRO,01-04 JUSTICIA,"MARQUES DE LA ENSENADA, CALLE, DEL",16,24,-3.6920816,40.4254027
10,11,01  CENTRO,01-05 UNIVERSIDAD,"SAN ANDRES, CALLE, DE",20,24,-3.7036192,40.4270517
11,12,01  CENTRO,01-05 UNIVERSIDAD,"SAN BERNARDO, CALLE, DE",87,24,-3.7062202,40.4285271
12,13,01  CENTRO,01-05 UNIVERSIDAD,"CONDE DUQUE, CALLE, DEL",22,24,-3.7104727,40.4273652
13,14,09  MONCLOA-ARAVACA,09-02 ARGÜELLES,"VENTURA RODRIGUEZ, CALLE, DE",1,24,-3.7133768,40.4259913
14,15,01  CENTRO,01-05 UNIVERSIDAD,"NORTE, CALLE, DEL",10,21,-3.7073611,40.4262937
15,16,01  CENTRO,01-05 UNIVERSIDAD,"SAN BERNARDO, CALLE, DE",22,21,-3.7074955,40.4229421
16,17,01  CENTRO,01-05 UNIVERSIDAD,"CARLOS CAMBRONERO, PLAZA, DE",2,24,-3.7041859,40.4231675
17,18,01  CENTRO,01-04 JUSTICIA,"PEDRO ZEROLO, PLAZA, DE",1,24,-3.6995679,40.4209206
18,19,01  CENTRO,01-04 JUSTICIA,"PRIM, CALLE, DE",4,24,-3.6953951,40.4218997
19,20,01  CENTRO,01-04 JUSTICIA,"ALCALA, CALLE, DE",49,30,-3.6952901,40.4191858
20,22,01  CENTRO,01-06 SOL,"JACOMETREZO, CALLE, DE",1,24,-3.7064995,40.4201452
21,23,01  CENTRO,01-01 PALACIO,"SANTO DOMINGO, PLAZA, DE",S/N,24,-3.7082901,40.4202137
22,24,01  CENTRO,01-01 PALACIO,"CARLOS III, CALLE, DE",1,24,-3.7105866,40.417906
23,25,01  CENTRO,01-06 SOL,"CELENQUE, PLAZA, DEL",1,48,-3.7060243,40.4172593
24,26,01  CENTRO,01-04 JUSTICIA,"SALESAS, PLAZA, DE LAS",8,24,-3.6945421,40.4238308
25,27,01  CENTRO,01-03 CORTES,"JESUS, CALLE, DE",frente 6,27,-3.6955803,40.4132831
26,28,01  CENTRO,01-03 CORTES,"ALCALA, CALLE, DE",26,24,-3.6983662,40.4180695
27,29,01  CENTRO,01-03 CORTES,"MARQUES DE CUBAS, CALLE, DEL",25,24,-3.6958008,40.416244
28,30,01  CENTRO,01-01 PALACIO,"PAVIA, CALLE, DE",6,27,-3.7115428,40.4193355
29,31,01  CENTRO,01-06 SOL,"MAYOR, CALLE",18,27,-3.706625,40.4163446
30,32,01  CENTRO,01-06 SOL,"PROVINCIA, PLAZA, DE LA",1,18,-3.7061355,40.4148511
31,33,01  CENTRO,01-06 SOL,"CARRETAS, CALLE, DE LAS",3,21,-3.7032096,40.4164757
32,34,01  CENTRO,01-03 CORTES,"JACINTO BENAVENTE, PLAZA, DE",S/N,24,-3.7035044,40.4144117
33,35,01  CENTRO,01-01 PALACIO,"CORDON, PLAZA, DEL",1,24,-3.7103676,40.4141792
34,36,01  CENTRO,01-01 PALACIO,"RAMALES, PLAZA, DE",5,24,-3.711764,40.4168229
