FID,NOMBRE,CODDISTRIT,SHAPE_area,SHAPE_len
1,Centro,1,5231267.2305,10304.5451438
2,Arganzuela,2,6466406.09902,12834.8857465
3,Retiro,3,5465317.42414,9523.92677783
4,Salamanca,4,5387251.72889,10862.9988231
5,Chamartín,5,9170134.91006,13401.4822549
6,Tetuán,6,5388121.66196,9925.07315097
7,Chamberí,7,4674107.1521,9020.56505563
8,Fuencarral - El Pardo,8,237810084.245,94525.1562863
9,Moncloa - Aravaca,9,46531098.041,41015.5985406
10,Latina,10,25417224.1612,28169.0662662
11,Carabanchel,11,14048390.5879,18083.3662674
12,Usera,12,7755082.20971,11860.4645906
13,Puente de Vallecas,13,15005857.047,17293.7390694
14,Moratalaz,14,6110086.36622,10824.4133963
15,Ciudad Lineal,15,11425726.1344,21524.731266
16,Hortaleza,16,27414669.9118,26944.5938289
17,Villaverde,17,20176230.5227,18390.3658027
18,Villa de Vallecas,18,51417916.7115,33553.5337438
19,Vicálvaro,19,35193846.6994,34157.7345007
20,San Blas - Canillejas,20,22370169.9042,26698.9037044
21,Barajas,21,41908559.9944,28708.6231015
