,unplug_hourTime,Count,dayofweek,hour,typeofday
259,2019-08-01 00:00:00+00:00,138,3,0,workingday
260,2019-08-01 01:00:00+00:00,75,3,1,workingday
261,2019-08-01 02:00:00+00:00,66,3,2,workingday
262,2019-08-01 03:00:00+00:00,53,3,3,workingday
263,2019-08-01 04:00:00+00:00,105,3,4,workingday
264,2019-08-01 05:00:00+00:00,521,3,5,workingday
265,2019-08-01 06:00:00+00:00,933,3,6,workingday
266,2019-08-01 07:00:00+00:00,619,3,7,workingday
267,2019-08-01 08:00:00+00:00,367,3,8,workingday
268,2019-08-01 09:00:00+00:00,381,3,9,workingday
269,2019-08-01 10:00:00+00:00,343,3,10,workingday
270,2019-08-01 11:00:00+00:00,430,3,11,workingday
271,2019-08-01 12:00:00+00:00,611,3,12,workingday
272,2019-08-01 13:00:00+00:00,893,3,13,workingday
273,2019-08-01 14:00:00+00:00,595,3,14,workingday
274,2019-08-01 15:00:00+00:00,600,3,15,workingday
275,2019-08-01 16:00:00+00:00,781,3,16,workingday
276,2019-08-01 17:00:00+00:00,824,3,17,workingday
277,2019-08-01 18:00:00+00:00,745,3,18,workingday
278,2019-08-01 19:00:00+00:00,629,3,19,workingday
279,2019-08-01 20:00:00+00:00,363,3,20,workingday
280,2019-08-01 21:00:00+00:00,413,3,21,workingday
281,2019-08-01 22:00:00+00:00,433,3,22,workingday
282,2019-08-01 23:00:00+00:00,238,3,23,workingday
283,2019-08-02 00:00:00+00:00,147,4,0,friday
284,2019-08-02 01:00:00+00:00,95,4,1,friday
285,2019-08-02 02:00:00+00:00,80,4,2,friday
286,2019-08-02 03:00:00+00:00,56,4,3,friday
287,2019-08-02 04:00:00+00:00,101,4,4,friday
288,2019-08-02 05:00:00+00:00,520,4,5,friday
289,2019-08-02 06:00:00+00:00,815,4,6,friday
290,2019-08-02 07:00:00+00:00,576,4,7,friday
291,2019-08-02 08:00:00+00:00,317,4,8,friday
292,2019-08-02 09:00:00+00:00,296,4,9,friday
293,2019-08-02 10:00:00+00:00,325,4,10,friday
294,2019-08-02 11:00:00+00:00,423,4,11,friday
295,2019-08-02 12:00:00+00:00,799,4,12,friday
296,2019-08-02 13:00:00+00:00,780,4,13,friday
297,2019-08-02 14:00:00+00:00,508,4,14,friday
298,2019-08-02 15:00:00+00:00,495,4,15,friday
299,2019-08-02 16:00:00+00:00,506,4,16,friday
300,2019-08-02 17:00:00+00:00,518,4,17,friday
301,2019-08-02 18:00:00+00:00,550,4,18,friday
302,2019-08-02 19:00:00+00:00,494,4,19,friday
303,2019-08-02 20:00:00+00:00,332,4,20,friday
304,2019-08-02 21:00:00+00:00,326,4,21,friday
305,2019-08-02 22:00:00+00:00,321,4,22,friday
306,2019-08-02 23:00:00+00:00,307,4,23,friday
307,2019-08-03 00:00:00+00:00,206,5,0,weekend
308,2019-08-03 01:00:00+00:00,183,5,1,weekend
309,2019-08-03 02:00:00+00:00,119,5,2,weekend
310,2019-08-03 03:00:00+00:00,98,5,3,weekend
311,2019-08-03 04:00:00+00:00,81,5,4,weekend
312,2019-08-03 05:00:00+00:00,73,5,5,weekend
313,2019-08-03 06:00:00+00:00,98,5,6,weekend
314,2019-08-03 07:00:00+00:00,158,5,7,weekend
315,2019-08-03 08:00:00+00:00,219,5,8,weekend
316,2019-08-03 09:00:00+00:00,268,5,9,weekend
317,2019-08-03 10:00:00+00:00,305,5,10,weekend
318,2019-08-03 11:00:00+00:00,358,5,11,weekend
319,2019-08-03 12:00:00+00:00,288,5,12,weekend
320,2019-08-03 13:00:00+00:00,247,5,13,weekend
321,2019-08-03 14:00:00+00:00,286,5,14,weekend
322,2019-08-03 15:00:00+00:00,295,5,15,weekend
323,2019-08-03 16:00:00+00:00,260,5,16,weekend
324,2019-08-03 17:00:00+00:00,424,5,17,weekend
325,2019-08-03 18:00:00+00:00,472,5,18,weekend
326,2019-08-03 19:00:00+00:00,407,5,19,weekend
327,2019-08-03 20:00:00+00:00,311,5,20,weekend
328,2019-08-03 21:00:00+00:00,252,5,21,weekend
329,2019-08-03 22:00:00+00:00,327,5,22,weekend
330,2019-08-03 23:00:00+00:00,294,5,23,weekend
331,2019-08-04 00:00:00+00:00,223,6,0,weekend
332,2019-08-04 01:00:00+00:00,179,6,1,weekend
333,2019-08-04 02:00:00+00:00,147,6,2,weekend
334,2019-08-04 03:00:00+00:00,88,6,3,weekend
335,2019-08-04 04:00:00+00:00,88,6,4,weekend
336,2019-08-04 05:00:00+00:00,57,6,5,weekend
337,2019-08-04 06:00:00+00:00,84,6,6,weekend
338,2019-08-04 07:00:00+00:00,110,6,7,weekend
339,2019-08-04 08:00:00+00:00,152,6,8,weekend
340,2019-08-04 09:00:00+00:00,236,6,9,weekend
341,2019-08-04 10:00:00+00:00,274,6,10,weekend
342,2019-08-04 11:00:00+00:00,291,6,11,weekend
343,2019-08-04 12:00:00+00:00,264,6,12,weekend
344,2019-08-04 13:00:00+00:00,225,6,13,weekend
345,2019-08-04 14:00:00+00:00,260,6,14,weekend
346,2019-08-04 15:00:00+00:00,263,6,15,weekend
347,2019-08-04 16:00:00+00:00,311,6,16,weekend
348,2019-08-04 17:00:00+00:00,377,6,17,weekend
349,2019-08-04 18:00:00+00:00,370,6,18,weekend
350,2019-08-04 19:00:00+00:00,341,6,19,weekend
351,2019-08-04 20:00:00+00:00,303,6,20,weekend
352,2019-08-04 21:00:00+00:00,281,6,21,weekend
353,2019-08-04 22:00:00+00:00,243,6,22,weekend
354,2019-08-04 23:00:00+00:00,154,6,23,weekend
355,2019-08-05 00:00:00+00:00,95,0,0,workingday
356,2019-08-05 01:00:00+00:00,61,0,1,workingday
357,2019-08-05 02:00:00+00:00,36,0,2,workingday
358,2019-08-05 03:00:00+00:00,38,0,3,workingday
359,2019-08-05 04:00:00+00:00,91,0,4,workingday
360,2019-08-05 05:00:00+00:00,449,0,5,workingday
361,2019-08-05 06:00:00+00:00,755,0,6,workingday
362,2019-08-05 07:00:00+00:00,489,0,7,workingday
363,2019-08-05 08:00:00+00:00,271,0,8,workingday
364,2019-08-05 09:00:00+00:00,261,0,9,workingday
365,2019-08-05 10:00:00+00:00,257,0,10,workingday
366,2019-08-05 11:00:00+00:00,323,0,11,workingday
367,2019-08-05 12:00:00+00:00,561,0,12,workingday
368,2019-08-05 13:00:00+00:00,741,0,13,workingday
369,2019-08-05 14:00:00+00:00,516,0,14,workingday
